# Wavelength, Reflectance
1.644629221888972552e+03 5.991587968112779272e-01
1.643763133021785052e+03 6.012776676828812672e-01
1.642897898646785052e+03 5.985739582652915836e-01
1.642033640834285052e+03 5.981912660554004058e-01
1.641170237513972552e+03 6.060071553306077830e-01
1.640307932826472552e+03 5.883092008707668796e-01
1.639446482631160052e+03 5.807615635411023103e-01
1.638586008998347552e+03 5.778395455861973229e-01
1.637726389857722552e+03 5.787885634486308328e-01
1.636867869349910052e+03 5.570645557603934872e-01
1.636010203334285052e+03 5.592468193873229021e-01
1.635153513881160052e+03 5.510748404216890828e-01
1.634297800990535052e+03 5.527144394004739336e-01
1.633442942592097552e+03 5.420369346928676224e-01
1.632589060756160052e+03 5.386303118999117290e-01
1.631736033412410052e+03 5.341051107096770334e-01
1.630883982631160052e+03 5.219015762025256411e-01
1.630032908412410052e+03 5.176511018100334871e-01
1.629182688685847552e+03 5.012338782112056856e-01
1.628333445521785052e+03 5.089680359018516898e-01
1.627485056849910052e+03 5.131186448572516712e-01
1.626637644740535052e+03 5.051184106777947269e-01
1.625791209193660052e+03 5.154528516975136476e-01
1.624945750209285052e+03 5.060654496373113709e-01
1.624101023646785052e+03 5.092857736566731575e-01
1.623257395717097552e+03 5.031151442698629239e-01
1.622414500209285052e+03 5.149105027001587009e-01
1.621572703334285052e+03 5.002082588638743221e-01
1.620731638881160052e+03 5.046588304560696292e-01
1.619891673060847552e+03 4.931228418669742486e-01
1.619052439662410052e+03 5.010115582726120120e-01
1.618214182826472552e+03 4.955667780942136225e-01
1.617376780482722552e+03 4.938882269883704268e-01
1.616540354701472552e+03 4.842381035991115135e-01
1.615704783412410052e+03 4.831877801741672473e-01
1.614870188685847552e+03 4.894292265983820056e-01
1.614036570521785052e+03 4.876104167520395327e-01
1.613203684779597552e+03 4.907029749419379305e-01
1.612371775599910052e+03 4.879680086944831463e-01
1.611540720912410052e+03 4.956040813696400704e-01
1.610710642787410052e+03 4.882853525838197761e-01
1.609881419154597552e+03 4.835174888648300917e-01
1.609053050013972552e+03 4.836441560822624663e-01
1.608225657435847552e+03 4.773981234234110360e-01
1.607398997279597552e+03 4.709470864764765397e-01
1.606573313685847552e+03 4.830702906758412851e-01
1.605748606654597552e+03 4.873724991348677982e-01
1.604924754115535052e+03 4.807582650618743569e-01
1.604101633998347552e+03 4.760020728231995069e-01
1.603279490443660052e+03 4.814221303689660836e-01
1.602458323451472552e+03 4.787207446639555886e-01
1.601637888881160052e+03 4.774953657944369656e-01
1.600818430873347552e+03 4.673551879314234436e-01
1.599999827357722552e+03 4.764213965608393719e-01
1.599182078334285052e+03 4.850790508932376066e-01
1.598365183803035052e+03 4.682072877198961702e-01
1.597549021693660052e+03 4.835609914506762141e-01
1.596734202357722552e+03 4.726341041433682055e-01
1.595919871303035052e+03 4.694565653329613730e-01
1.595106394740535052e+03 4.835918903790201173e-01
1.594294016810847552e+03 4.732475704592303822e-01
1.593482249232722552e+03 4.820056886647850480e-01
1.592671458217097552e+03 4.777105421850792455e-01
1.591861643763972552e+03 4.756864081274175260e-01
1.591052561732722552e+03 4.818624493070675641e-01
1.590244456263972552e+03 4.854643967240183655e-01
1.589436961146785052e+03 4.700528861706219641e-01
1.588630320521785052e+03 4.682951640013029992e-01
1.587824900599910052e+03 4.716694775339924095e-01
1.587020091029597552e+03 4.755663619213709725e-01
1.586216135951472552e+03 4.791793034817364294e-01
1.585413157435847552e+03 4.800389688879264649e-01
1.584610911342097552e+03 4.793267150164700618e-01
1.583809519740535052e+03 4.700893296880640504e-01
1.583009104701472552e+03 4.835625945319745322e-01
1.582209422084285052e+03 4.733217422116704487e-01
1.581410716029597552e+03 4.772660539815774539e-01
1.580612620326472552e+03 4.804161346840472024e-01
1.579815379115535052e+03 4.812411755919996925e-01
1.579019236537410052e+03 4.779015201969268323e-01
1.578223704310847552e+03 4.903000095297790351e-01
1.577429148646785052e+03 4.739018319190134165e-01
1.576635447474910052e+03 4.693427648116656470e-01
1.575842478724910052e+03 4.815465402280884599e-01
1.575050242396785052e+03 4.719163186229182183e-01
1.574258982631160052e+03 4.714870058856400203e-01
1.573468577357722552e+03 4.758188961778435089e-01
1.572679026576472552e+03 4.703196140973561756e-01
1.571890208217097552e+03 4.758834485561576066e-01
1.571102122279597552e+03 4.732345299533379235e-01
1.570315134974910052e+03 4.824955834747954309e-01
1.569528758021785052e+03 4.700083082647165122e-01
1.568743479701472552e+03 4.700754323422015601e-01
1.567958689662410052e+03 4.651541978218480811e-01
1.567174876185847552e+03 4.707324972931127838e-01
1.566391917201472552e+03 4.745394156609560321e-01
1.565609690638972552e+03 4.743756083872041063e-01
1.564828318568660052e+03 4.765116663609407222e-01
1.564047800990535052e+03 4.743984392729826971e-01
1.563268137904597552e+03 4.745747256384301171e-01
1.562489085170222552e+03 4.637914474007799326e-01
1.561711008998347552e+03 4.702839261103440305e-01
1.560933787318660052e+03 4.702821933139391675e-01
1.560157298060847552e+03 4.758495728928969770e-01
1.559381541224910052e+03 4.611574352150942802e-01
1.558606638881160052e+03 4.730568468235636925e-01
1.557832713099910052e+03 4.753862659596790330e-01
1.557059397670222552e+03 4.723860710860628420e-01
1.556286936732722552e+03 4.676126526093111191e-01
1.555515208217097552e+03 4.662202690136560967e-01
1.554744456263972552e+03 4.701847320419045295e-01
1.553974314662410052e+03 4.677008104700175473e-01
1.553205149623347552e+03 4.726458555364274061e-01
1.553205027553035052e+03 4.664028284746369879e-01
1.552948924037410052e+03 4.678653570996428313e-01
1.552692698451472552e+03 4.655344202184766855e-01
1.552436717006160052e+03 4.721044719091381237e-01
1.552436594935847552e+03 4.672583923648897519e-01
1.552180735560847552e+03 4.681324588377082652e-01
1.551669016810847552e+03 4.667265014838339332e-01
1.550902171107722552e+03 4.674279825959906098e-01
1.550136057826472552e+03 4.619111726607087465e-01
1.549370799037410052e+03 4.724034680439501144e-01
1.548606394740535052e+03 4.682214444389043995e-01
1.547842600795222552e+03 4.655054182783266992e-01
1.547079661342097552e+03 4.686901202365146291e-01
